ogc_fid,zoning,acres,obb_length_ft,obb_width_ft,fill_ratio,network,streets_across,lots,irregular_lots,lot_width_ft,lot_depth_ft,buildable_depth_ft,streets,courts,pct_row,pct_alleys,pct_lots,pct_residual,pct_hazard,hazard_coverage,du_ac,access_mode,error,generator_version
682812,AR2A,20.04,2132,523,0.783,spine,1,2,1,400,220,180,1,1,13.2,0,20.6,32,27.6,ingested,0.1,end,,subdivision_v1.1
682870,AR2A,19.46,1118,788,0.962,ladder,2,2,0,530,165,125,3,1,16.4,0,21.6,51.2,0.0,ingested,0.1,start,,subdivision_v1.1
682927,AR2A,41.44,2016,1009,0.887,ladder,2,3,0,400,220,180,5,6,15.9,0,14.8,35.6,5.5,ingested,0.07,start,,subdivision_v1.1
682946,AR2A,18.74,1354,873,0.691,ladder,2,2,0,460,190,150,4,1,15.4,0,20.6,53.7,0.0,ingested,0.11,end,,subdivision_v1.1
682985,AR2A,20.28,1285,918,0.749,ladder,2,1,0,440,200,160,4,1,18.5,0,10.2,61.5,0.0,ingested,0.05,end,,subdivision_v1.1
682986,AR2A,31.79,2307,762,0.788,ladder,2,1,0,545,160,120,5,3,19.7,0,6.5,54.3,0.0,ingested,0.03,end,,subdivision_v1.1
682992,AR2A,26.22,2476,632,0.73,spine,1,4,1,400,220,180,1,2,12.1,0,35,33.7,1.9,ingested,0.15,start,,subdivision_v1.1
682993,AR2A,25.84,2157,944,0.553,ladder,2,1,0,425,205,165,5,5,16.8,0,7.7,20.7,19.3,ingested,0.04,start,,subdivision_v1.1
682994,AR2A,20.14,2682,553,0.592,spine,1,3,1,400,220,180,1,2,12.7,0,32,23.1,12.1,ingested,0.15,start,,subdivision_v1.1
682999,AR2A,20.91,3592,658,0.386,ladder,2,0,0,650,135,95,7,0,23.5,0,0,72.5,5.2,ingested,0,both,,subdivision_v1.1
683004,AR2A,37.91,2231,1602,0.462,grid,3,4,1,400,220,180,7,3,18.2,0,23.1,34,9.9,ingested,0.11,side,,subdivision_v1.1
683006,AR2A,42.36,4375,789,0.535,ladder,2,0,0,530,165,125,9,1,21.8,0,0,56,22.0,ingested,0,both,,subdivision_v1.1
683009,AR2A,81.46,3889,1202,0.759,grid,3,0,0,515,170,130,9,2,20.4,0,0,69.9,6.1,ingested,0,both,,subdivision_v1.1
683019,AR2A,19.48,1948,615,0.709,spine,1,2,0,400,220,180,1,3,10.6,0,24.4,20.2,9.3,ingested,0.1,start,,subdivision_v1.1
683023,AR2A,19.18,2314,684,0.528,ladder,2,0,0,625,140,100,5,0,24.2,0,0,75.6,0.2,ingested,0,both,,subdivision_v1.1
683033,AR2A,31.15,2992,626,0.724,spine,1,2,0,400,220,180,1,5,12.3,0,15.3,34.3,0.0,ingested,0.06,end,,subdivision_v1.1
683103,R40,11.92,835,666,0.933,spine,1,5,0,185,220,180,1,2,9.1,0,46.1,23.8,2.5,ingested,0.42,end,,subdivision_v1.1
683454,AR2A,25.84,1878,916,0.654,ladder,2,1,0,440,200,160,5,2,17.5,0,7.9,58.8,0.0,ingested,0.04,start,,subdivision_v1.1
683509,AR2A,61.62,2771,1408,0.688,grid,3,3,0,425,205,165,7,10,19.7,0,9.7,37.5,0.9,ingested,0.05,end,,subdivision_v1.1
683524,RS80,16.71,2413,433,0.696,spine,1,3,0,435,185,145,1,2,15.4,0,33.9,28.1,0.0,ingested,0.18,end,,subdivision_v1.1
683542,RS80,34.07,2258,1057,0.622,ladder,2,2,0,365,220,180,5,6,15.4,0,11.6,39.9,0.0,ingested,0.06,end,,subdivision_v1.1
683547,R20,17.35,1756,724,0.594,ladder,2,15,1,150,135,95,4,5,18.9,3.3,40.7,23.3,0.3,ingested,0.86,start,,subdivision_v1.1
683571,AR2A,18.22,1740,636,0.717,spine,1,0,0,400,220,180,1,0,12,0,0,32.3,67.5,ingested,0,end,,subdivision_v1.1
683574,R20,5.6,921,495,0.535,spine,1,4,0,115,175,135,1,1,14.1,4.3,37.2,35.1,0.0,ingested,0.71,start,,subdivision_v1.1
683575,R20,7.65,1034,373,0.865,spine,1,6,0,150,135,95,1,2,16.8,5.8,37.2,27.9,0.0,ingested,0.78,end,,subdivision_v1.1
683579,R20,18.37,1715,473,0.987,spine,1,21,0,115,175,135,1,5,11.7,6.8,56.8,6,5.8,ingested,1.14,both,,subdivision_v1.1
683581,AR2A,38.97,2316,1410,0.52,grid,3,0,0,425,205,165,6,6,20.1,0,0,43.9,8.0,ingested,0,both,,subdivision_v1.1
683585,AR2A,24.37,1798,1266,0.467,grid,3,0,0,485,180,140,5,2,18.9,0,0,61.6,4.8,ingested,0,start,,subdivision_v1.1
683595,AR2A,63.2,2506,1800,0.61,grid,4,0,0,450,195,155,8,4,20.4,0,0,56.9,11.7,ingested,0,both,,subdivision_v1.1
683601,R20,18.12,1818,725,0.599,ladder,2,15,0,150,135,95,5,4,20.3,4.8,38.9,23.1,2.6,ingested,0.83,start,,subdivision_v1.1
683602,R20,5.15,1353,534,0.311,spine,1,4,3,115,175,135,1,0,22.7,0.7,39,35.2,2.4,ingested,0.78,start,,subdivision_v1.1
683609,R20,9.78,1614,421,0.626,spine,1,8,0,125,160,120,1,1,20.1,3.6,38.1,30.7,2.7,ingested,0.82,end,,subdivision_v1.1
683634,R25,10.63,1202,678,0.569,ladder,2,5,0,200,125,75,4,2,22.4,5.2,27.5,33.8,0.0,ingested,0.47,start,,subdivision_v1.1
683649,AR2A,26.87,4444,386,0.682,spine,1,1,0,530,165,125,1,4,19,0,7.3,42.3,3.4,ingested,0.04,end,,subdivision_v1.1
683668,AR2A,42.09,2210,993,0.835,ladder,2,6,0,400,220,180,5,6,15.5,0,28.7,27.5,0.0,ingested,0.14,start,,subdivision_v1.1
683675,R20,27.65,1784,1419,0.476,grid,3,26,2,115,175,135,5,5,14.4,4.3,47,25.2,0.0,ingested,0.94,both,,subdivision_v1.1
683715,AR2A,31.02,1888,1174,0.61,grid,3,1,0,530,165,125,6,0,21.4,0,6.8,65.4,7.7,ingested,0.03,both,,subdivision_v1.1
683723,AR2A,23.92,1266,1110,0.742,ladder,2,3,1,400,220,180,5,1,18.2,0,28.4,39.1,6.2,ingested,0.13,side,,subdivision_v1.1
683731,AR2A,41.61,2141,1306,0.648,grid,3,1,0,460,190,150,6,10,18.7,0,4.8,28.4,0.0,ingested,0.02,both,,subdivision_v1.1
683771,AR2A,23.55,1987,889,0.581,ladder,2,0,0,460,190,150,6,0,20.3,0,0,32.6,58.5,ingested,0,side,,subdivision_v1.1
683774,R25,41.76,2692,1068,0.633,ladder,2,31,5,130,195,145,6,3,17.3,2.6,45.3,26.6,3.6,ingested,0.74,start,,subdivision_v1.1
683800,AR2A,71.5,4245,1492,0.492,grid,3,8,0,400,220,180,10,6,19.5,0,22.4,40.1,1.1,ingested,0.11,start,,subdivision_v1.1
683814,R20,20.58,1879,666,0.716,ladder,2,17,0,170,120,80,5,6,22.2,5.8,39.7,18.3,0.0,ingested,0.83,end,,subdivision_v1.1
